potato
Ponudba 1 1629,59 Grčija Kreta 3
Ponudba 2 1027,95 Grčija Santorini 5
Ponudba 3 1357,25 Grčija Ios 0
Ponudba 4 1116,06 Španija Barcelona 1
Ponudba 5 1396,41 Španija Madrid 1
Ponudba 6 1256,68 Portugalska Madeira 4
Ponudba 7 1604,67 Španija Tenerife 2
Ponudba 8 1308,3 Pkuket Tajska 1
Ponudba 9 1367,04 Phuket Tajska 2
Ponudba 10 1440,02 Denpasar Bali 3
Ponudba 11 976,33 Denpasar Bali 5
Ponudba 12 1565,51 Manila Filipini 0
Ponudba 15 1627,81 Crna Gora Budva 0
Ponudba 16 922,04 Malezija Kuala Lumpur 3
Ponudba 18 979,89 Karibsko otočje Havana 3
Ponudba 19 1033,29 Karibsko otočje Barbados 5
Ponudba 20 1614,46 Karibsko otočje Bahami 5
nekaj 10 Slovenija  1
